no,question,type,n_responses,unique_values,unique_value_response,ws,sfts,sr,pr,nr,cs,oe,app,fr,fh,am,wb,kmh,rsb,pd,pol,cri,sens,str,no_indicators
OF1,Distance to community,multi_choice,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,b,b,NA,NA,b,NA,f,NA,b,NA,NA,5
OF2,Distance to Frequently-traveled Road,multi_choice,6,NA,NA,NA,NA,NA,NA,b,NA,NA,NA,NA,b,f,NA,f,f,f,NA,b,NA,f,8
OF3,Distance to Ponded water,multi_choice,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,f/b,f/b,f/b,NA,NA,NA,NA,s,NA,7
OF4,Distance to Large ponded water,multi_choice,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,f/b,NA,NA,NA,NA,NA,NA,NA,2
OF5,Relative Elevation in Watershed,numeric,1,NA,NA,b,b,b,b,f,NA,f,f/b,NA,f,NA,f,NA,NA,NA,NA,NA,s,NA,11
OF6,Stream Intersect,binary,1,OutMap,OF6_1==1,f,f,f,f,f,NA,f,f,NA,f,NA,NA,NA,NA,f,f,NA,s,NA,11
OF7,Aspect,multi_choice,3,NA,NA,b,b,NA,f,f,NA,NA,f,f,NA,f,NA,NA,NA,NA,NA,NA,NA,NA,7
OF8,Glacier influence,multi_choice,3,NA,NA,NA,b,b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
OF9,Floodable Infrastructure,multi_choice,4,NA,NA,b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
OF10,Internal Flow Distance,multi_choice,6,NA,NA,f,NA,f,f,NA,NA,f,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
OF11,Wetland as a % of Its Contributing Area (Catchment),multi_choice,4,NoCA,OF11_4==1,f,b,f/b,f/b,f,NA,NA,f,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
OF12,Unvegetated Surface in the WAU,multi_choice,3,NA,NA,b,b,b,b,NA,NA,NA,f,NA,f,f,NA,NA,NA,f,f,NA,NA,f,10
OF13,Conservation Investment,binary,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,b,NA,NA,1
OF14,Sustained Scientific Use,binary,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,b,NA,NA,1
OF15,Burned,binary,1,NA,NA,NA,NA,b,NA,NA,f,NA,NA,f,NA,NA,NA,NA,NA,NA,NA,NA,NA,f,4
OF16,Karst Geology,binary,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,f,NA,NA,NA,NA,NA,NA,f,NA,NA,NA,NA,2
OF17,Geology Faults,binary,1,NA,NA,NA,f,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
OF18,Lakes within 2km,multiresponse_binary,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,f/b,NA,NA,NA,NA,b,NA,NA,3
OF19,Wetlands and Lakes within 2km,multi_choice,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,f/b,f/b,f/b,f/b,f,NA,NA,s,NA,10
